724940:23234,2008,01,03,17,12.2,7.2,1014.3,170,7.7,8,0.0,0.0
724940:23234,2008,01,03,18,13.3,6.1,1014.6,170,9.3,8,0.0,0.0
724940:23234,2008,01,03,19,14.4,6.1,1014.5,170,11.3,8,0.0,0.0
724940:23234,2008,01,03,20,14.4,6.7,1013.7,170,10.8,8,-0.1,0.0
724940:23234,2008,01,03,21,12.8,8.9,1012.8,160,5.7,8,0.0,0.0
724940:23234,2008,01,03,22,11.7,8.3,1012.4,170,6.7,8,0.0,0.0
724940:23234,2008,01,03,23,11.1,8.9,1012.7,150,8.2,8,0.1,0.0
724940:23234,2008,01,04,00,11.1,10.0,1011.7,140,5.7,8,0.2,0.4
724940:23234,2008,01,04,01,11.7,10.0,1011.0,150,7.2,8,0.0,0.0
724940:23234,2008,01,04,02,11.7,10.0,1012.0,150,4.1,8,0.0,0.0
724940:23234,2008,01,04,03,11.1,9.4,1011.7,130,3.1,8,-0.1,0.0
724940:23234,2008,01,04,04,11.7,8.9,1011.7,130,6.2,8,0.0,0.0
724940:23234,2008,01,04,05,11.7,8.3,1011.6,130,7.2,8,-0.1,0.0
724940:23234,2008,01,04,06,11.7,8.9,1011.5,140,4.6,8,0.0,0.1
724940:23234,2008,01,04,07,11.7,8.9,1010.9,130,6.7,8,0.0,0.0
724940:23234,2008,01,04,08,0.0,999.9,0.0,0,0.0,8,-0.1,0.0
724940:23234,2008,01,04,09,11.1,9.4,1008.4,130,8.8,8,-0.1,0.0
724940:23234,2008,01,04,10,11.1,9.4,1006.5,130,9.8,8,0.0,0.0
724940:23234,2008,01,04,11,11.1,9.4,1005.2,130,10.3,8,0.0,0.0
724940:23234,2008,01,04,12,11.1,10.0,1003.6,130,8.7,8,0.1,0.3
724940:23234,2008,01,04,13,13.9,11.7,1002.9,160,10.8,8,0.0,0.0
724940:23234,2008,01,04,14,13.9,11.7,1000.4,150,15.4,8,0.0,0.0
724940:23234,2008,01,04,15,14.4,12.2,999.0,160,15.4,8,0.2,0.0
724940:23234,2008,01,04,16,15.0,13.0,0.0,170,23.7,8,-0.1,0.0
724940:23234,2008,01,04,17,14.4,12.8,998.4,170,21.6,8,0.4,0.0
724940:23234,2008,01,04,18,14.4,13.3,998.2,190,15.4,8,0.7,1.9
724940:23234,2008,01,04,19,14.0,13.0,998.1,180,17.5,8,0.7,0.0
724940:23234,2008,01,04,20,15.0,13.3,998.1,190,17.0,8,0.7,0.0
724940:23234,2008,01,04,21,12.0,10.0,999.7,260,13.4,8,0.8,0.0
724940:23234,2008,01,04,22,11.1,10.0,1000.4,250,8.2,8,0.4,0.0
724940:23234,2008,01,04,23,11.1,10.0,1000.9,230,6.2,8,0.4,0.0
724940:23234,2008,01,05,00,11.7,10.6,1001.7,210,6.2,8,0.0,3.1
724940:23234,2008,01,05,01,12.2,10.6,1001.7,220,8.8,8,-0.1,0.0
724940:23234,2008,01,05,02,12.2,9.4,1001.9,230,6.2,7,0.0,0.0
724940:23234,2008,01,05,03,12.2,7.8,1003.2,230,9.8,4,-0.1,0.0
724940:23234,2008,01,05,04,11.7,6.1,1004.0,230,8.8,4,0.0,0.0
724940:23234,2008,01,05,05,11.1,6.1,1005.6,230,7.7,4,0.0,0.0
724940:23234,2008,01,05,06,10.6,5.6,1006.5,230,7.7,4,0.0,0.0
724940:23234,2008,01,05,07,10.6,4.4,1007.2,230,7.7,4,0.0,0.0
724940:23234,2008,01,05,08,0.0,999.9,0.0,0,0.0,4,0.0,0.0
724940:23234,2008,01,05,09,10.6,6.1,1008.5,220,4.6,4,0.0,0.0
724940:23234,2008,01,05,10,8.9,5.0,1009.1,210,3.6,0,0.0,0.0
724940:23234,2008,01,05,11,8.3,5.0,1009.6,200,2.6,0,0.0,0.0
